Portugal, Death rates (period 5x10), 	Last modified: 11 Aug 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1940-1949        0             0.124882        0.141373        0.133391
1940-1949      1-4             0.020282        0.021071        0.020685
1940-1949      5-9             0.002885        0.003168        0.003029
1940-1949     10-14            0.001962        0.001992        0.001977
1940-1949     15-19            0.003135        0.003281        0.003208
1940-1949     20-24            0.004084        0.004934        0.004506
1940-1949     25-29            0.004234        0.005095        0.004657
1940-1949     30-34            0.004304        0.005647        0.004954
1940-1949     35-39            0.004759        0.006953        0.005797
1940-1949     40-44            0.005274        0.008565        0.006798
1940-1949     45-49            0.006323        0.011120        0.008509
1940-1949     50-54            0.008523        0.014680        0.011273
1940-1949     55-59            0.011706        0.020087        0.015374
1940-1949     60-64            0.019114        0.030109        0.023832
1940-1949     65-69            0.030839        0.046352        0.037372
1940-1949     70-74            0.053900        0.074856        0.062391
1940-1949     75-79            0.091957        0.121652        0.103293
1940-1949     80-84            0.134520        0.173020        0.147347
1940-1949     85-89            0.196912        0.257247        0.214247
1940-1949     90-94            0.245818        0.295952        0.257798
1940-1949     95-99            0.355678        0.400047        0.365001
1940-1949    100-104           0.397242        0.476275        0.409960
1940-1949    105-109           0.413841        0.496586        0.425676
1940-1949    110+              0.428620        0.750703        0.463146
1950-1959        0             0.088988        0.103984        0.096693
1950-1959      1-4             0.010942        0.011424        0.011189
1950-1959      5-9             0.001443        0.001618        0.001532
1950-1959     10-14            0.000822        0.001040        0.000932
1950-1959     15-19            0.001201        0.001558        0.001378
1950-1959     20-24            0.001668        0.002390        0.002023
1950-1959     25-29            0.001931        0.002777        0.002345
1950-1959     30-34            0.002130        0.003147        0.002625
1950-1959     35-39            0.002668        0.004100        0.003360
1950-1959     40-44            0.003303        0.005583        0.004392
1950-1959     45-49            0.004344        0.007798        0.005957
1950-1959     50-54            0.006177        0.011185        0.008454
1950-1959     55-59            0.009248        0.016677        0.012546
1950-1959     60-64            0.015209        0.025538        0.019667
1950-1959     65-69            0.025238        0.039196        0.031061
1950-1959     70-74            0.045687        0.065261        0.053559
1950-1959     75-79            0.081141        0.107507        0.091183
1950-1959     80-84            0.124504        0.160917        0.136589
1950-1959     85-89            0.199427        0.249822        0.213615
1950-1959     90-94            0.272961        0.336283        0.287389
1950-1959     95-99            0.409710        0.464529        0.419706
1950-1959    100-104           0.491255        0.416580        0.478950
1950-1959    105-109           0.423733        0.602141        0.443016
1950-1959    110+              0.412267        0.270027        0.402193
1960-1969        0             0.067477        0.080482        0.074167
1960-1969      1-4             0.005523        0.005915        0.005724
1960-1969      5-9             0.000907        0.001166        0.001039
1960-1969     10-14            0.000526        0.000776        0.000652
1960-1969     15-19            0.000631        0.001305        0.000962
1960-1969     20-24            0.000836        0.001588        0.001196
1960-1969     25-29            0.001078        0.001970        0.001502
1960-1969     30-34            0.001355        0.002536        0.001919
1960-1969     35-39            0.001828        0.003396        0.002577
1960-1969     40-44            0.002470        0.004728        0.003550
1960-1969     45-49            0.003508        0.006763        0.005059
1960-1969     50-54            0.005382        0.010294        0.007695
1960-1969     55-59            0.007994        0.015815        0.011573
1960-1969     60-64            0.013207        0.024650        0.018249
1960-1969     65-69            0.023076        0.039026        0.029846
1960-1969     70-74            0.043276        0.064344        0.051825
1960-1969     75-79            0.078070        0.103973        0.087933
1960-1969     80-84            0.120787        0.158567        0.133406
1960-1969     85-89            0.197682        0.242880        0.210787
1960-1969     90-94            0.278934        0.348674        0.295057
1960-1969     95-99            0.396902        0.463129        0.407767
1960-1969    100-104           0.492489        0.537476        0.498741
1960-1969    105-109           0.436215        0.360564        0.424330
1960-1969    110+              0.334821        0.193673        0.303249
1970-1979        0             0.035906        0.044955        0.040562
1970-1979      1-4             0.002046        0.002329        0.002191
1970-1979      5-9             0.000583        0.000865        0.000727
1970-1979     10-14            0.000429        0.000728        0.000580
1970-1979     15-19            0.000545        0.001516        0.001030
1970-1979     20-24            0.000665        0.001930        0.001282
1970-1979     25-29            0.000791        0.001825        0.001286
1970-1979     30-34            0.001034        0.002176        0.001573
1970-1979     35-39            0.001498        0.003003        0.002210
1970-1979     40-44            0.002125        0.004478        0.003240
1970-1979     45-49            0.003195        0.006632        0.004820
1970-1979     50-54            0.004724        0.009750        0.007094
1970-1979     55-59            0.007097        0.014584        0.010602
1970-1979     60-64            0.011867        0.023410        0.017133
1970-1979     65-69            0.020379        0.037190        0.027685
1970-1979     70-74            0.038406        0.061702        0.047881
1970-1979     75-79            0.072749        0.103366        0.084316
1970-1979     80-84            0.113602        0.150566        0.126001
1970-1979     85-89            0.187511        0.229561        0.199677
1970-1979     90-94            0.280190        0.325022        0.291078
1970-1979     95-99            0.408690        0.420003        0.411047
1970-1979    100-104           0.542017        0.338356        0.499451
1970-1979    105-109           0.654993        0.217273        0.598900
1970-1979    110+              0.478316        0.331858        0.424757
1980-1989        0             0.015947        0.019883        0.017973
1980-1989      1-4             0.000888        0.001158        0.001027
1980-1989      5-9             0.000351        0.000553        0.000454
1980-1989     10-14            0.000313        0.000548        0.000433
1980-1989     15-19            0.000508        0.001542        0.001032
1980-1989     20-24            0.000541        0.001958        0.001251
1980-1989     25-29            0.000613        0.001861        0.001232
1980-1989     30-34            0.000826        0.001990        0.001398
1980-1989     35-39            0.001196        0.002444        0.001798
1980-1989     40-44            0.001780        0.003643        0.002669
1980-1989     45-49            0.002667        0.005638        0.004079
1980-1989     50-54            0.003893        0.008674        0.006149
1980-1989     55-59            0.005807        0.012883        0.009113
1980-1989     60-64            0.009087        0.019409        0.013844
1980-1989     65-69            0.015501        0.030225        0.022106
1980-1989     70-74            0.028645        0.050100        0.037769
1980-1989     75-79            0.054364        0.083419        0.065643
1980-1989     80-84            0.093743        0.127214        0.105206
1980-1989     85-89            0.158027        0.198208        0.169953
1980-1989     90-94            0.245633        0.291335        0.257044
1980-1989     95-99            0.355032        0.420132        0.367826
1980-1989    100-104           0.464829        0.708326        0.501493
1980-1989    105-109           0.816798        2.462031        0.935185
1980-1989    110+                    .              .              .
1990-1999        0             0.007193        0.008940        0.008093
1990-1999      1-4             0.000520        0.000680        0.000602
1990-1999      5-9             0.000280        0.000376        0.000329
1990-1999     10-14            0.000255        0.000420        0.000339
1990-1999     15-19            0.000377        0.001261        0.000826
1990-1999     20-24            0.000501        0.001829        0.001172
1990-1999     25-29            0.000607        0.002133        0.001368
1990-1999     30-34            0.000786        0.002435        0.001597
1990-1999     35-39            0.001070        0.002843        0.001936
1990-1999     40-44            0.001548        0.003505        0.002500
1990-1999     45-49            0.002239        0.004812        0.003477
1990-1999     50-54            0.003330        0.007172        0.005154
1990-1999     55-59            0.004850        0.011086        0.007778
1990-1999     60-64            0.007535        0.017091        0.011947
1990-1999     65-69            0.012735        0.027029        0.019167
1990-1999     70-74            0.023420        0.043214        0.031996
1990-1999     75-79            0.045148        0.072007        0.056081
1990-1999     80-84            0.081022        0.115216        0.093451
1990-1999     85-89            0.142946        0.182982        0.155493
1990-1999     90-94            0.231201        0.279534        0.243681
1990-1999     95-99            0.341097        0.385154        0.350392
1990-1999    100-104           0.494594        0.563067        0.506333
1990-1999    105-109           0.780366        1.405094        0.824105
1990-1999    110+                    .              .              .
2000-2009        0             0.003755        0.004442        0.004109
2000-2009      1-4             0.000244        0.000325        0.000286
2000-2009      5-9             0.000142        0.000183        0.000163
2000-2009     10-14            0.000162        0.000214        0.000189
2000-2009     15-19            0.000259        0.000666        0.000467
2000-2009     20-24            0.000333        0.001053        0.000697
2000-2009     25-29            0.000388        0.001267        0.000828
2000-2009     30-34            0.000560        0.001665        0.001108
2000-2009     35-39            0.000841        0.002273        0.001545
2000-2009     40-44            0.001264        0.003239        0.002229
2000-2009     45-49            0.001908        0.004603        0.003219
2000-2009     50-54            0.002664        0.006336        0.004434
2000-2009     55-59            0.003771        0.008808        0.006158
2000-2009     60-64            0.005763        0.013157        0.009193
2000-2009     65-69            0.009547        0.020783        0.014642
2000-2009     70-74            0.017521        0.033912        0.024660
2000-2009     75-79            0.034012        0.058274        0.043953
2000-2009     80-84            0.063117        0.094591        0.074868
2000-2009     85-89            0.118310        0.158935        0.131603
2000-2009     90-94            0.203877        0.254394        0.217643
2000-2009     95-99            0.309612        0.374525        0.323474
2000-2009    100-104           0.441828        0.520112        0.453934
2000-2009    105-109           0.531249        0.536349        0.531942
2000-2009    110+              0.257143        0.500000        0.319149
2010-2019        0             0.002625        0.003282        0.002961
2010-2019      1-4             0.000150        0.000184        0.000168
2010-2019      5-9             0.000089        0.000099        0.000094
2010-2019     10-14            0.000082        0.000119        0.000101
2010-2019     15-19            0.000152        0.000312        0.000233
2010-2019     20-24            0.000221        0.000523        0.000374
2010-2019     25-29            0.000246        0.000635        0.000440
2010-2019     30-34            0.000368        0.000816        0.000587
2010-2019     35-39            0.000576        0.001223        0.000888
2010-2019     40-44            0.000946        0.002089        0.001497
2010-2019     45-49            0.001490        0.003506        0.002457
2010-2019     50-54            0.002205        0.005631        0.003840
2010-2019     55-59            0.003125        0.008181        0.005518
2010-2019     60-64            0.004625        0.011579        0.007875
2010-2019     65-69            0.007229        0.016628        0.011517
2010-2019     70-74            0.012727        0.026016        0.018564
2010-2019     75-79            0.024578        0.043797        0.032594
2010-2019     80-84            0.049752        0.076768        0.060160
2010-2019     85-89            0.097801        0.134120        0.110211
2010-2019     90-94            0.174506        0.220403        0.187756
2010-2019     95-99            0.282029        0.340357        0.295380
2010-2019    100-104           0.426873        0.504922        0.439720
2010-2019    105-109           0.571391        0.662581        0.580155
2010-2019    110+              0.909231        0.000000        0.889695
2020-2021        0             0.002315        0.002417        0.002367
2020-2021      1-4             0.000133        0.000170        0.000152
2020-2021      5-9             0.000099        0.000075        0.000087
2020-2021     10-14            0.000070        0.000106        0.000088
2020-2021     15-19            0.000137        0.000311        0.000226
2020-2021     20-24            0.000189        0.000490        0.000342
2020-2021     25-29            0.000215        0.000618        0.000417
2020-2021     30-34            0.000383        0.000791        0.000584
2020-2021     35-39            0.000588        0.001013        0.000793
2020-2021     40-44            0.000910        0.001659        0.001268
2020-2021     45-49            0.001386        0.003076        0.002188
2020-2021     50-54            0.002166        0.005290        0.003643
2020-2021     55-59            0.003101        0.008204        0.005487
2020-2021     60-64            0.004689        0.012654        0.008390
2020-2021     65-69            0.007315        0.017686        0.012066
2020-2021     70-74            0.012388        0.025844        0.018405
2020-2021     75-79            0.024098        0.042372        0.031846
2020-2021     80-84            0.049906        0.075611        0.060076
2020-2021     85-89            0.098525        0.137342        0.112236
2020-2021     90-94            0.183802        0.232771        0.198540
2020-2021     95-99            0.292905        0.349032        0.306324
2020-2021    100-104           0.439849        0.502871        0.451009
2020-2021    105-109           0.634980        0.684522        0.640357
2020-2021    110+              3.061467        1.336820        2.019378
