Taiwan, Death rates (period 5x10), 	Last modified: 18 Dec 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1970-1979        0             0.012432        0.014490        0.013495
1970-1979      1-4             0.001772        0.002020        0.001900
1970-1979      5-9             0.000424        0.000645        0.000538
1970-1979     10-14            0.000361        0.000573        0.000470
1970-1979     15-19            0.000641        0.001262        0.000960
1970-1979     20-24            0.000828        0.001703        0.001275
1970-1979     25-29            0.000927        0.001886        0.001418
1970-1979     30-34            0.001253        0.002295        0.001783
1970-1979     35-39            0.001726        0.003112        0.002441
1970-1979     40-44            0.002579        0.004333        0.003548
1970-1979     45-49            0.003795        0.006088        0.005149
1970-1979     50-54            0.006003        0.009319        0.007975
1970-1979     55-59            0.009222        0.014874        0.012481
1970-1979     60-64            0.014809        0.023712        0.019708
1970-1979     65-69            0.025291        0.038676        0.032152
1970-1979     70-74            0.042770        0.061351        0.051508
1970-1979     75-79            0.070232        0.094561        0.080481
1970-1979     80-84            0.116898        0.142435        0.126497
1970-1979     85-89            0.176809        0.194336        0.182611
1970-1979     90-94            0.263268        0.249748        0.259215
1970-1979     95-99            0.360428        0.289188        0.340030
1970-1979    100-104           0.505915        0.383043        0.474012
1970-1979    105-109           0.929403        0.944625        0.930825
1970-1979    110+                    .              .              .
1980-1989        0             0.007371        0.008469        0.007940
1980-1989      1-4             0.000916        0.001135        0.001029
1980-1989      5-9             0.000321        0.000511        0.000419
1980-1989     10-14            0.000296        0.000483        0.000392
1980-1989     15-19            0.000529        0.001379        0.000965
1980-1989     20-24            0.000681        0.001595        0.001149
1980-1989     25-29            0.000748        0.001724        0.001247
1980-1989     30-34            0.000906        0.002000        0.001465
1980-1989     35-39            0.001285        0.002766        0.002044
1980-1989     40-44            0.001887        0.004089        0.003011
1980-1989     45-49            0.003072        0.005997        0.004576
1980-1989     50-54            0.004775        0.008477        0.006808
1980-1989     55-59            0.007493        0.012249        0.010268
1980-1989     60-64            0.012329        0.019077        0.016250
1980-1989     65-69            0.021347        0.030918        0.026673
1980-1989     70-74            0.036137        0.049253        0.042966
1980-1989     75-79            0.061013        0.077915        0.068982
1980-1989     80-84            0.104621        0.127961        0.114297
1980-1989     85-89            0.163634        0.185812        0.171785
1980-1989     90-94            0.234962        0.241364        0.237100
1980-1989     95-99            0.352437        0.364770        0.356626
1980-1989    100-104           0.504550        0.514905        0.508282
1980-1989    105-109           1.075156        1.201681        1.121371
1980-1989    110+                    .              .              .
1990-1999        0             0.005851        0.006895        0.006395
1990-1999      1-4             0.000582        0.000704        0.000645
1990-1999      5-9             0.000253        0.000333        0.000295
1990-1999     10-14            0.000262        0.000386        0.000326
1990-1999     15-19            0.000480        0.001244        0.000872
1990-1999     20-24            0.000551        0.001380        0.000975
1990-1999     25-29            0.000640        0.001624        0.001144
1990-1999     30-34            0.000802        0.002047        0.001438
1990-1999     35-39            0.001109        0.002768        0.001954
1990-1999     40-44            0.001571        0.003866        0.002738
1990-1999     45-49            0.002409        0.005464        0.003958
1990-1999     50-54            0.003787        0.008038        0.005923
1990-1999     55-59            0.005988        0.011763        0.008894
1990-1999     60-64            0.009840        0.017475        0.013916
1990-1999     65-69            0.016549        0.025737        0.021742
1990-1999     70-74            0.028526        0.040060        0.034964
1990-1999     75-79            0.050348        0.064654        0.057856
