The United States of America, Death rates (period 5x10), 	Last modified: 15 Mar 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1933-1939        0             0.053437        0.067995        0.060850
1933-1939      1-4             0.004004        0.004598        0.004304
1933-1939      5-9             0.001343        0.001645        0.001497
1933-1939     10-14            0.001100        0.001452        0.001278
1933-1939     15-19            0.001938        0.002388        0.002162
1933-1939     20-24            0.002807        0.003296        0.003049
1933-1939     25-29            0.003297        0.003721        0.003506
1933-1939     30-34            0.003733        0.004431        0.004079
1933-1939     35-39            0.004797        0.005957        0.005378
1933-1939     40-44            0.005884        0.007868        0.006892
1933-1939     45-49            0.008033        0.011042        0.009585
1933-1939     50-54            0.011422        0.015781        0.013685
1933-1939     55-59            0.015581        0.021570        0.018673
1933-1939     60-64            0.023366        0.031255        0.027392
1933-1939     65-69            0.035715        0.045722        0.040767
1933-1939     70-74            0.055640        0.067857        0.061716
1933-1939     75-79            0.086194        0.101896        0.093814
1933-1939     80-84            0.126346        0.148724        0.136649
1933-1939     85-89            0.190341        0.218059        0.202325
1933-1939     90-94            0.258925        0.282325        0.268282
1933-1939     95-99            0.289198        0.300272        0.293343
1933-1939    100-104           0.401080        0.417298        0.406744
1933-1939    105-109           0.489131        0.515312        0.497597
1933-1939    110+              0.637416        0.865093        0.690880
1940-1949        0             0.037260        0.047787        0.042647
1940-1949      1-4             0.001929        0.002268        0.002101
1940-1949      5-9             0.000751        0.001030        0.000893
1940-1949     10-14            0.000664        0.000982        0.000826
1940-1949     15-19            0.001160        0.001805        0.001475
1940-1949     20-24            0.001630        0.002722        0.002137
1940-1949     25-29            0.001855        0.002654        0.002233
1940-1949     30-34            0.002371        0.003165        0.002753
1940-1949     35-39            0.003162        0.004289        0.003711
1940-1949     40-44            0.004373        0.006206        0.005285
1940-1949     45-49            0.006185        0.009303        0.007753
1940-1949     50-54            0.009106        0.014349        0.011771
1940-1949     55-59            0.013185        0.021161        0.017236
1940-1949     60-64            0.019387        0.029732        0.024594
1940-1949     65-69            0.029402        0.042000        0.035610
1940-1949     70-74            0.048091        0.062583        0.055147
1940-1949     75-79            0.076907        0.094884        0.085413
1940-1949     80-84            0.114948        0.139959        0.126095
1940-1949     85-89            0.176163        0.207211        0.189225
1940-1949     90-94            0.247764        0.280890        0.260664
1940-1949     95-99            0.292476        0.312754        0.300007
1940-1949    100-104           0.374428        0.388427        0.379492
1940-1949    105-109           0.357701        0.365322        0.360391
1940-1949    110+              0.149889        0.169498        0.155697
1950-1959        0             0.025570        0.033329        0.029519
1950-1959      1-4             0.001111        0.001311        0.001213
1950-1959      5-9             0.000449        0.000618        0.000535
1950-1959     10-14            0.000370        0.000621        0.000498
1950-1959     15-19            0.000635        0.001387        0.001010
1950-1959     20-24            0.000817        0.001976        0.001369
1950-1959     25-29            0.001013        0.001857        0.001425
1950-1959     30-34            0.001372        0.002157        0.001755
1950-1959     35-39            0.001993        0.003022        0.002496
1950-1959     40-44            0.003058        0.004887        0.003960
1950-1959     45-49            0.004566        0.007806        0.006169
1950-1959     50-54            0.007040        0.012645        0.009821
1950-1959     55-59            0.010233        0.019015        0.014573
1950-1959     60-64            0.015586        0.028255        0.021775
1950-1959     65-69            0.024205        0.040872        0.032173
1950-1959     70-74            0.038878        0.058307        0.047983
1950-1959     75-79            0.064365        0.086192        0.074323
1950-1959     80-84            0.100614        0.129488        0.112870
1950-1959     85-89            0.159042        0.193237        0.172695
1950-1959     90-94            0.235583        0.270764        0.248560
1950-1959     95-99            0.319093        0.350281        0.329701
1950-1959    100-104           0.353771        0.360356        0.355978
1950-1959    105-109           0.267443        0.251638        0.261830
1950-1959    110+              0.229352        0.199932        0.217980
1960-1969        0             0.021289        0.027879        0.024646
1960-1969      1-4             0.000882        0.001060        0.000973
1960-1969      5-9             0.000378        0.000519        0.000450
1960-1969     10-14            0.000307        0.000520        0.000415
1960-1969     15-19            0.000565        0.001392        0.000982
1960-1969     20-24            0.000711        0.001946        0.001311
1960-1969     25-29            0.000870        0.001850        0.001350
1960-1969     30-34            0.001230        0.002117        0.001665
1960-1969     35-39            0.001842        0.003017        0.002415
1960-1969     40-44            0.002785        0.004692        0.003713
1960-1969     45-49            0.004239        0.007552        0.005854
1960-1969     50-54            0.006322        0.012213        0.009195
