Spain, Death rates (period 5x10), 	Last modified: 23 Feb 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1908-1909        0             0.162069        0.192384        0.177544
1908-1909      1-4             0.042274        0.043652        0.042969
1908-1909      5-9             0.007004        0.006864        0.006933
1908-1909     10-14            0.003785        0.003415        0.003602
1908-1909     15-19            0.005705        0.005754        0.005728
1908-1909     20-24            0.007482        0.007698        0.007586
1908-1909     25-29            0.007727        0.007393        0.007569
1908-1909     30-34            0.009504        0.008356        0.008954
1908-1909     35-39            0.008298        0.008573        0.008430
1908-1909     40-44            0.011052        0.012085        0.011557
1908-1909     45-49            0.009856        0.013543        0.011629
1908-1909     50-54            0.016671        0.020490        0.018516
1908-1909     55-59            0.016775        0.023037        0.019695
1908-1909     60-64            0.040768        0.043948        0.042314
1908-1909     65-69            0.045770        0.054380        0.049832
1908-1909     70-74            0.109042        0.104833        0.106989
1908-1909     75-79            0.114916        0.137035        0.124950
1908-1909     80-84            0.166217        0.188438        0.175361
1908-1909     85-89            0.190609        0.244125        0.210539
1908-1909     90-94            0.249423        0.279356        0.258980
1908-1909     95-99            0.340127        0.361286        0.346003
1908-1909    100-104           0.441162        0.530522        0.459114
1908-1909    105-109           0.457522        1.202643        0.510369
1908-1909    110+              6.000000              .        6.000000
1910-1919        0             0.163229        0.187321        0.175708
1910-1919      1-4             0.040985        0.041935        0.041469
1910-1919      5-9             0.007511        0.007201        0.007355
1910-1919     10-14            0.004219        0.003753        0.003988
1910-1919     15-19            0.006391        0.006295        0.006345
1910-1919     20-24            0.008483        0.008552        0.008516
1910-1919     25-29            0.009303        0.008791        0.009059
1910-1919     30-34            0.009955        0.009416        0.009697
1910-1919     35-39            0.009664        0.009945        0.009798
1910-1919     40-44            0.010782        0.012228        0.011476
1910-1919     45-49            0.010692        0.014430        0.012499
1910-1919     50-54            0.015163        0.019555        0.017279
1910-1919     55-59            0.018435        0.024913        0.021512
1910-1919     60-64            0.035515        0.041989        0.038554
1910-1919     65-69            0.047105        0.056634        0.051568
1910-1919     70-74            0.095780        0.101992        0.098702
1910-1919     75-79            0.132798        0.154708        0.142767
1910-1919     80-84            0.167237        0.193408        0.177683
1910-1919     85-89            0.200833        0.254018        0.220041
1910-1919     90-94            0.269080        0.312067        0.282547
1910-1919     95-99            0.367007        0.413718        0.379841
1910-1919    100-104           0.503612        0.545723        0.512899
1910-1919    105-109           0.718300        1.096449        0.759951
1910-1919    110+              2.337423              .        2.337423
1920-1929        0             0.144254        0.164159        0.154536
1920-1929      1-4             0.031464        0.031961        0.031717
1920-1929      5-9             0.005169        0.005330        0.005250
1920-1929     10-14            0.003191        0.003012        0.003101
1920-1929     15-19            0.004963        0.004819        0.004892
1920-1929     20-24            0.006223        0.006597        0.006404
1920-1929     25-29            0.006713        0.006701        0.006707
1920-1929     30-34            0.007080        0.006964        0.007025
1920-1929     35-39            0.007397        0.008127        0.007748
1920-1929     40-44            0.008359        0.010480        0.009378
1920-1929     45-49            0.009005        0.013247        0.011031
1920-1929     50-54            0.012420        0.018053        0.015097
1920-1929     55-59            0.016083        0.023966        0.019836
1920-1929     60-64            0.029722        0.038962        0.034080
1920-1929     65-69            0.042050        0.054076        0.047617
1920-1929     70-74            0.079214        0.092085        0.085054
1920-1929     75-79            0.121308        0.148118        0.133005
1920-1929     80-84            0.148195        0.180258        0.160397
1920-1929     85-89            0.191316        0.249280        0.210931
