Luxembourg, Death rates (period 5x10), 	Last modified: 06 Jan 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1960-1969        0             0.021132        0.029962        0.025650
1960-1969      1-4             0.001248        0.001234        0.001241
1960-1969      5-9             0.000475        0.000667        0.000573
1960-1969     10-14            0.000279        0.000461        0.000372
1960-1969     15-19            0.000409        0.001218        0.000820
1960-1969     20-24            0.000551        0.002098        0.001349
1960-1969     25-29            0.000719        0.001712        0.001233
1960-1969     30-34            0.001082        0.001911        0.001511
1960-1969     35-39            0.001479        0.002422        0.001949
1960-1969     40-44            0.002523        0.003999        0.003223
1960-1969     45-49            0.003880        0.007130        0.005452
1960-1969     50-54            0.005822        0.011635        0.008694
1960-1969     55-59            0.008212        0.018482        0.013196
1960-1969     60-64            0.014303        0.030680        0.021956
1960-1969     65-69            0.025495        0.043384        0.033521
1960-1969     70-74            0.043604        0.067957        0.054116
1960-1969     75-79            0.077153        0.101049        0.087098
1960-1969     80-84            0.133755        0.160319        0.144507
1960-1969     85-89            0.210336        0.233301        0.219328
1960-1969     90-94            0.296469        0.320505        0.305355
1960-1969     95-99            0.441887        0.430053        0.438385
1960-1969    100-104           1.571263        2.083333        1.610695
1960-1969    105-109                 .              .              .
1960-1969    110+                    .              .              .
1970-1979        0             0.012716        0.018740        0.015822
1970-1979      1-4             0.000836        0.000934        0.000886
1970-1979      5-9             0.000300        0.000553        0.000429
1970-1979     10-14            0.000256        0.000395        0.000327
1970-1979     15-19            0.000560        0.001554        0.001065
1970-1979     20-24            0.000535        0.001738        0.001142
1970-1979     25-29            0.000770        0.001639        0.001220
1970-1979     30-34            0.001055        0.001964        0.001529
1970-1979     35-39            0.001243        0.002745        0.002020
1970-1979     40-44            0.002268        0.004311        0.003323
1970-1979     45-49            0.003582        0.006146        0.004852
1970-1979     50-54            0.005401        0.010509        0.007793
1970-1979     55-59            0.007965        0.018507        0.012895
1970-1979     60-64            0.013120        0.028496        0.020239
1970-1979     65-69            0.022342        0.044205        0.031989
1970-1979     70-74            0.038243        0.069668        0.051219
1970-1979     75-79            0.069434        0.100930        0.081435
1970-1979     80-84            0.114811        0.157917        0.130197
1970-1979     85-89            0.191660        0.234813        0.206345
1970-1979     90-94            0.290691        0.322163        0.301197
1970-1979     95-99            0.407851        0.424844        0.414146
1970-1979    100-104           1.094432        1.541496        1.244311
1970-1979    105-109                 .              .              .
1970-1979    110+                    .              .              .
1980-1989        0             0.009394        0.011707        0.010576
1980-1989      1-4             0.000449        0.000541        0.000496
1980-1989      5-9             0.000206        0.000344        0.000277
1980-1989     10-14            0.000229        0.000331        0.000281
1980-1989     15-19            0.000440        0.001179        0.000817
1980-1989     20-24            0.000484        0.001554        0.001018
1980-1989     25-29            0.000641        0.001717        0.001178
1980-1989     30-34            0.000655        0.001377        0.001023
1980-1989     35-39            0.001108        0.002149        0.001649
1980-1989     40-44            0.001898        0.003249        0.002594
1980-1989     45-49            0.002784        0.005427        0.004128
1980-1989     50-54            0.004408        0.008596        0.006520
1980-1989     55-59            0.006339        0.014369        0.010177
1980-1989     60-64            0.010219        0.022581        0.015638
1980-1989     65-69            0.016603        0.036374        0.024973
1980-1989     70-74            0.029423        0.055744        0.040145
1980-1989     75-79            0.052144        0.091802        0.066685
1980-1989     80-84            0.099546        0.140109        0.112964
1980-1989     85-89            0.166509        0.205170        0.177911
1980-1989     90-94            0.271119        0.296846        0.278211
1980-1989     95-99            0.388183        0.569245        0.427016
1980-1989    100-104           0.901405        1.991701        1.009054
1980-1989    105-109                 .              .              .
1980-1989    110+                    .              .              .
1990-1999        0             0.006000        0.006093        0.006048
1990-1999      1-4             0.000300        0.000420        0.000362
1990-1999      5-9             0.000183        0.000222        0.000203
1990-1999     10-14            0.000099        0.000239        0.000171
1990-1999     15-19            0.000403        0.000828        0.000621
1990-1999     20-24            0.000426        0.001313        0.000877
1990-1999     25-29            0.000433        0.001254        0.000851
1990-1999     30-34            0.000684        0.001488        0.001092
1990-1999     35-39            0.001023        0.002049        0.001545
1990-1999     40-44            0.001545        0.002711        0.002144
1990-1999     45-49            0.002465        0.004122        0.003324
1990-1999     50-54            0.003588        0.006964        0.005310
1990-1999     55-59            0.005040        0.010756        0.007880
1990-1999     60-64            0.008257        0.017251        0.012604
1990-1999     65-69            0.013137        0.027406        0.019496
1990-1999     70-74            0.021924        0.044970        0.030972
1990-1999     75-79            0.039885        0.072547        0.051686
1990-1999     80-84            0.078949        0.118688        0.092057
1990-1999     85-89            0.141398        0.185784        0.153897
1990-1999     90-94            0.240865        0.274614        0.249364
1990-1999     95-99            0.340122        0.440627        0.360835
1990-1999    100-104           0.473278        0.789820        0.502011
1990-1999    105-109           0.769231              .        0.769231
1990-1999    110+                    .              .              .
2000-2009        0             0.003362        0.003834        0.003606
2000-2009      1-4             0.000210        0.000333        0.000274
2000-2009      5-9             0.000077        0.000127        0.000103
2000-2009     10-14            0.000129        0.000171        0.000151
2000-2009     15-19            0.000238        0.000439        0.000341
2000-2009     20-24            0.000283        0.000928        0.000611
2000-2009     25-29            0.000356        0.000973        0.000665
2000-2009     30-34            0.000484        0.001023        0.000753
2000-2009     35-39            0.000628        0.001361        0.000998
2000-2009     40-44            0.000963        0.001944        0.001463
2000-2009     45-49            0.001766        0.003160        0.002476
2000-2009     50-54            0.002990        0.005279        0.004161
2000-2009     55-59            0.004683        0.008125        0.006444
2000-2009     60-64            0.006731        0.013387        0.010033
2000-2009     65-69            0.010378        0.020688        0.015253
2000-2009     70-74            0.017851        0.033120        0.024733
2000-2009     75-79            0.032730        0.053133        0.040909
2000-2009     80-84            0.061545        0.091422        0.071553
2000-2009     85-89            0.118510        0.165044        0.131578
2000-2009     90-94            0.201018        0.277933        0.218463
2000-2009     95-99            0.336888        0.380867        0.345086
2000-2009    100-104           0.481783        0.459702        0.477385
2000-2009    105-109           0.798085        0.000000        0.612918
2000-2009    110+                    .              .              .
2010-2019        0             0.002742        0.004358        0.003569
2010-2019      1-4             0.000131        0.000163        0.000147
2010-2019      5-9             0.000026        0.000062        0.000045
2010-2019     10-14            0.000052        0.000074        0.000064
2010-2019     15-19            0.000171        0.000319        0.000247
2010-2019     20-24            0.000165        0.000496        0.000334
2010-2019     25-29            0.000251        0.000470        0.000362
2010-2019     30-34            0.000325        0.000565        0.000445
2010-2019     35-39            0.000392        0.000841        0.000617
2010-2019     40-44            0.000704        0.001153        0.000932
2010-2019     45-49            0.001435        0.002103        0.001780
2010-2019     50-54            0.002099        0.003821        0.002991
2010-2019     55-59            0.003320        0.006078        0.004736
2010-2019     60-64            0.005429        0.010059        0.007771
2010-2019     65-69            0.008853        0.015757        0.012279
2010-2019     70-74            0.014144        0.024949        0.019257
2010-2019     75-79            0.024659        0.039887        0.031355
2010-2019     80-84            0.047296        0.073980        0.058038
2010-2019     85-89            0.096247        0.132946        0.108536
2010-2019     90-94            0.182901        0.225282        0.193732
2010-2019     95-99            0.287948        0.345185        0.298528
2010-2019    100-104           0.431397        0.557884        0.447884
2010-2019    105-109           0.497578        0.238978        0.470766
2010-2019    110+              5.594818        5.682696        5.638415
2020-2021        0             0.004050        0.003629        0.003837
2020-2021      1-4             0.000114        0.000000        0.000056
2020-2021      5-9             0.000030        0.000142        0.000088
2020-2021     10-14            0.000030        0.000029        0.000030
2020-2021     15-19            0.000282        0.000348        0.000316
2020-2021     20-24            0.000186        0.000326        0.000258
2020-2021     25-29            0.000236        0.000224        0.000230
2020-2021     30-34            0.000240        0.000368        0.000305
2020-2021     35-39            0.000345        0.000802        0.000575
2020-2021     40-44            0.000758        0.000946        0.000853
2020-2021     45-49            0.001020        0.002066        0.001556
2020-2021     50-54            0.001637        0.003060        0.002375
2020-2021     55-59            0.002899        0.005663        0.004336
2020-2021     60-64            0.004199        0.009567        0.006926
2020-2021     65-69            0.008712        0.014352        0.011491
2020-2021     70-74            0.013454        0.023860        0.018517
2020-2021     75-79            0.023605        0.038437        0.030457
2020-2021     80-84            0.043422        0.070737        0.054732
2020-2021     85-89            0.091943        0.132807        0.106943
2020-2021     90-94            0.178930        0.226971        0.193169
2020-2021     95-99            0.298408        0.337925        0.306563
2020-2021    100-104           0.477445        0.347727        0.457922
2020-2021    105-109           0.953622        1.314445        1.015573
2020-2021    110+                    .              .              .
